	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
TAG 54:6	0.0	0.0	145.12500000000003	3060.0	0.0	3137.5	2161.2983770287155	0.0	0.0	1147.5836431226767	0.0	0.0
TAG 56:6	0.0	0.0	140.875	1915.0	0.0	2202.5	2364.044943820225	0.0	0.0	985.1301115241637	0.0	0.0
Cer 16:0	3.5000000000000004	4.250000000000001	5.125	100.0	95.0	120.0	43.94506866416967	35.580524344569284	31.83520599250937	36.059479553903344	36.43122676579926	32.71375464684015
Cer 18:0	3.125	0.0	3.3750000000000004	0.0	62.5	62.5	21.97253433208491	12.359550561797754	10.1123595505618	9.66542750929368	12.267657992565058	0.0
Cer 19:0	2.5000000000000004	0.0	0.0	0.0	0.0	44.99999999999999	0.0	7.116104868913858	0.0	6.3197026022304845	0.0	0.0
Cer 22:0	5.500000000000001	4.375	8.0	105.0	89.99999999999999	105.0	26.966292134831463	20.973782771535582	17.97752808988764	19.33085501858736	21.561338289962823	17.1003717472119
Cer 24:0	10.875000000000002	8.25	17.125000000000004	187.5	212.5	190.0	69.91260923845206	49.438202247191015	41.57303370786517	42.37918215613383	48.698884758364315	43.122676579925646
Cer 24:1	22.375	14.5	27.750000000000004	417.5	482.5	417.5	115.85518102372023	78.27715355805243	80.1498127340824	79.182156133829	88.47583643122677	72.86245353159852
Cer 24:2	3.5000000000000004	0.0	5.000000000000001	70.00000000000001	75.0	87.5	26.966292134831463	16.47940074906367	15.730337078651687	16.356877323420075	15.241635687732343	16.356877323420075
DHSM 16:0	10.25	9.875000000000004	14.874999999999998	270.0	205.0	137.5	75.90511860174794	39.32584269662922	46.441947565543074	45.35315985130112	68.77323420074352	51.301115241635685
DHSM 17:0	0.0	0.0	3.875	0.0	0.0	0.0	0.0	8.239700374531836	5.617977528089887	7.434944237918216	9.29368029739777	0.0
DHSM 18:0	0.0	2.8750000000000004	3.5000000000000004	0.0	0.0	0.0	0.0	12.734082397003748	42.32209737827715	36.059479553903344	82.52788104089221	68.4014869888476
DHSM 19:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3457249070631976	0.0	0.0
DHSM 20:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.38289962825279	10.408921933085503
DHSM 22:0	0.5	1.875	1.3750000000000002	0.0	0.0	0.0	0.0	7.865168539325843	0.0	0.0	11.895910780669148	3.717472118959108
DHSM 24:0	1.875	0.0	0.0	0.0	0.0	0.0	0.0	8.61423220973783	0.7490636704119851	1.4869888475836435	0.7434944237918217	0.0
DHSM 25:0	0.0	0.0	2.7500000000000004	0.0	0.0	0.0	0.0	13.108614232209737	14.981273408239701	12.639405204460969	11.524163568773234	0.0
SM 14:0	27.875	31.125000000000004	41.125	392.5	427.5	302.5	121.84769038701612	73.40823970037454	68.53932584269663	65.79925650557621	68.02973977695167	69.88847583643121
SM 15:0	17.5	23.375000000000004	28.375000000000004	405.00000000000006	332.5	310.0	97.8776529338326	52.43445692883895	59.55056179775282	61.710037174721194	59.107806691449824	57.24907063197027
SM 16:0	325.12500000000006	322.375	529.375	5660.0	5872.5	5482.5	1762.7965043695392	1046.4419475655432	1215.730337078652	1082.899628252788	1123.7918215613383	1077.3234200743495
SM 16:1	25.750000000000004	23.875	37.5	370.0	380.0	340.0	114.85642946317117	63.29588014981273	71.91011235955057	63.19702602230483	65.79925650557621	69.88847583643121
SM 17:0	11.25	12.250000000000002	17.375	0.0	227.5	200.0	59.925093632958806	35.580524344569284	41.57303370786517	39.033457249070636	41.635687732342014	37.17472118959108
SM 18:0	61.75000000000001	55.125000000000014	96.5	820.0	927.5	890.0000000000001	251.68539325842698	152.80898876404495	167.41573033707866	155.3903345724907	173.97769516728624	149.44237918215615
SM 18:1	18.375	19.500000000000004	33.875	257.5	257.5	240.0	88.88888888888877	49.06367041198502	63.29588014981273	53.90334572490706	57.62081784386618	49.81412639405205
SM 19:0	3.75	5.000000000000001	4.875000000000001	0.0	0.0	0.0	0.0	9.737827715355804	9.363295880149813	5.947955390334574	8.921933085501859	12.639405204460969
SM 20:0	21.875000000000004	20.5	30.375000000000004	290.0	285.0	287.5	80.8988764044944	43.445692883895134	58.426966292134836	46.09665427509294	52.78810408921933	50.557620817843876
SM 20:1	10.125000000000002	8.500000000000002	17.000000000000004	0.0	0.0	130.00000000000003	37.95255930087379	25.093632958801503	24.719101123595507	22.67657992565056	27.137546468401485	38.66171003717472
SM 21:0	5.875000000000001	8.375	10.125000000000002	0.0	0.0	0.0	29.962546816479403	16.10486891385768	17.22846441947566	14.498141263940521	14.498141263940521	16.356877323420075
SM 22:0	103.5	104.375	152.25	1555.0	1800.0000000000002	1550.0000000000002	468.41448189762923	280.1498127340824	337.4531835205993	311.15241635687727	319.70260223048325	289.21933085501865
SM 22:1	41.25	43.87499999999999	68.625	695.0	617.5000000000001	677.5	169.78776529338313	103.37078651685393	134.4569288389513	111.89591078066914	127.1375464684015	110.0371747211896
SM 22:2	3.625	4.5	6.0	0.0	0.0	0.0	0.0	8.98876404494382	13.857677902621722	11.524163568773234	10.780669144981411	0.0
SM 23:0	21.375	27.125000000000004	34.625	340.0	437.5	452.50000000000006	116.85393258426967	69.28838951310863	105.61797752808988	84.01486988847583	83.27137546468403	77.32342007434944
